,Wild_Boar_Severity,Domestic_Pig_Severity,Virus_Load
Wild_Boar_Severity,1.0,0.9109906574999143,0.9705817768262733
Domestic_Pig_Severity,0.9109906574999143,1.0,0.9015037604471396
Virus_Load,0.9705817768262733,0.9015037604471396,1.0
